model,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore-F1,Entity Recall,Number Preservation
Direct mBART,0.5427363755915862,0.36155061403648625,0.44123577049433516,0.9097474813461304,0.5338277469029306,0.2808740601503759
FACT-AWARE mBART,0.5591782310969156,0.3892344237230324,0.4756542117322867,0.9161325693130493,0.5416380717454771,0.24486215538847117
